SFCno,GLON,GLAT,Vmean,SigV,Rang,MaxAxis,MinAxis,Rgal,D,Wco,Mgas,Rad,Q,Sigma,SFEbr,SFRbr,tff,aVir,_RA_icrs,_DE_icrs
47,19.73,-0.51,68.98,4.49,0.34,0.51,0.28,4.36,4.72,629,291000,28.01,2.77,80.7,0.0149,0.0176,4.56,2.26,277.22,-11.96
41,16.3,1.25,19.42,2.76,0.58,0.63,0.56,6.49,2.12,1550,143000,21.47,2.76,94.9,0.0296,0.0335,4.36,1.33,273.97,-14.17
93,45.41,-0.05,57.81,5.43,0.31,0.41,0.27,6.22,4.52,575,243000,24.36,2.72,71.6,0.0175,0.0183,4.04,3.44,288.67,11.06
199,317.92,-0.57,-42.69,3.67,0.52,0.53,0.51,6.62,2.93,1860,330000,26.39,2.65,149,0.0126,0.0128,3.91,1.25,223.79,-59.79
206,321.5,0.89,-52.28,5.86,0.55,0.61,0.53,6.17,3.49,965,237000,33.72,2.59,63.2,0.0167,0.0287,6.67,5.69,228.38,-56.77
116,85.24,3.73,-5.77,4.56,0.71,0.83,0.66,8.87,3.35,509,119000,41.6,2.5,28.8,0.0325,0.109,12.92,8.48,309.21,47.09
60,26.07,0.69,89.53,4.6,0.35,0.58,0.27,4.36,9.89,115,234000,59.56,2.47,17.3,0.0166,0.0675,15.77,6.28,279.1,-5.79
211,326.4,0.44,-42.81,3.31,0.87,0.89,0.87,6.31,2.88,3760,646000,43.81,2.41,106,0.00593,0.00918,5.99,0.868,235.99,-54.37
69,30.75,0.39,60.69,4.57,0.42,0.74,0.31,5.51,10.69,205,487000,78.1,2.36,22.4,0.00768,0.0326,16.42,3.91,281.52,-1.76
261,352.22,-0.24,-88.43,4.56,0.5,0.59,0.45,2.06,6.72,1260,1180000,58.11,2.34,102,0.00316,0.00554,6.77,1.19,261.68,-35.62
52,23.9,0.22,108.34,4.53,0.38,0.4,0.36,3.77,6.23,1110,898000,40.82,2.16,165,0.00383,0.00453,4.57,1.08,278.52,-7.93
254,350.15,-0.52,-21.15,4.36,0.54,0.7,0.48,5.44,3.13,1420,284000,29.6,2.04,90.8,0.0111,0.0144,5.01,2.3,260.52,-37.49
54,24.36,0.42,100.01,4.76,0.27,0.36,0.23,3.98,5.85,322,229000,27.66,1.96,56.2,0.0135,0.0176,5.04,3.19,278.55,-7.43
214,327.6,-0.6,-46.52,4,0.48,0.54,0.46,6.11,3.11,1750,352000,26.23,1.96,154,0.0088,0.00855,3.76,1.39,238.72,-54.44
259,351.58,0.23,-45.29,7.45,0.53,0.6,0.49,3.47,11.64,1280,3590000,106.85,1.95,93.3,8.69E-4,0.00217,9.68,1.93,260.76,-35.89
277,359.65,-0.13,-64.5,12.08,0.31,0.42,0.27,0.15,8.64,1380,2140000,47.44,1.95,232,0.00145,0.00139,3.7,3.77,266.32,-29.3
244,345.24,1.56,-15.53,3.1,0.4,0.44,0.39,6.69,1.89,998,73600,13.32,1.64,126,0.0343,0.0264,2.97,2.02,254.62,-40.2
197,316.52,-0.47,-2.08,7.48,0.57,0.83,0.47,8.53,12.36,404,1270000,122.2,1.61,22.4,0.002,0.0103,19.87,6.25,221.18,-60.32
150,201.53,1.36,22.42,1.92,0.38,0.45,0.35,12.11,3.79,58.6,17500,25.22,1.49,5.81,0.119,0.491,15.89,6.16,98.83,10.76
219,331.17,1.19,-78.4,5.08,0.62,0.7,0.59,4.85,4.85,1050,513000,52.83,1.44,40.6,0.00445,0.0102,8.89,3.09,241.25,-50.75
187,309.05,-0.21,-44.14,6.01,0.57,0.72,0.51,6.79,3.74,3170,921000,37.53,1.42,186,0.00246,0.00253,3.97,1.71,206.18,-62.45
185,308.05,-0.48,-8.48,4.67,0.66,0.94,0.55,8.22,10,483,997000,114.29,1.4,20.3,0.00223,0.0117,20.31,2.91,204.15,-62.9
30,10.34,-0.2,66.11,6.09,0.63,0.66,0.62,3.1,11.06,968,2460000,122,1.36,51.4,8.85E-4,0.00326,14.27,2.15,272.3,-20.09
195,315.17,-0.34,13.26,4.49,0.35,0.45,0.3,9.47,13.36,167,619000,80.88,1.36,18.2,0.0035,0.0139,15.35,3.07,218.57,-60.75
43,18.06,-0.42,46.55,6.09,0.39,0.43,0.37,5.03,3.8,2140,636000,25.65,1.35,292,0.00335,0.00234,2.7,1.74,276.34,-13.4
75,34.26,0.14,55.92,6.28,0.42,0.51,0.38,5.86,3.65,1010,279000,26.57,1.32,75.8,0.00751,0.00836,4.31,4.38,283.34,1.25
26,9.83,0.02,12.19,8.02,0.5,0.61,0.45,6.44,14.65,1030,4610000,127.97,1.28,94,4.43E-4,0.00128,11.19,2.08,271.83,-20.43
34,12.48,-0.49,44.47,6.62,0.44,0.47,0.43,4.35,4.35,1340,521000,33.7,1.27,142,0.00382,0.00445,4.5,3.3,273.66,-18.35
101,60.49,-0.27,24.66,3.21,0.66,0.74,0.62,7.61,2.44,720,82600,28.11,1.18,31.4,0.0207,0.0461,8.61,4.08,296.5,24.18
180,302.27,-0.28,-29.37,4.65,0.31,0.36,0.29,7.41,2.74,303,47000,14.76,1.16,60,0.0379,0.0426,4.34,7.9,191.39,-63.14
260,351.59,-1.33,-14.95,4.82,0.56,0.66,0.51,5.82,2.73,2450,367000,26.48,1.15,153,0.00485,0.00469,3.74,1.96,262.37,-36.75
153,206.22,-1.78,12.74,2.85,0.84,0.92,0.8,9.99,1.63,630,34600,23.89,1.09,18.5,0.0477,0.128,10.42,6.51,98.2,5.15
255,350.25,-0.12,-73.07,4.45,0.24,0.31,0.22,2.79,5.99,209,156000,25.56,1.09,41.4,0.011,0.0155,5.44,3.78,260.18,-37.18
205,320.98,-0.49,-56.41,4.82,0.43,0.56,0.38,6.05,3.79,656,194000,28.54,1.07,66.9,0.00865,0.0128,5.74,3.97,228.89,-58.22
57,25.58,-0.4,57.17,4.22,0.67,0.71,0.65,5.29,3.86,1400,430000,44.9,1.06,65.7,0.00391,0.00771,7.62,2.17,279.85,-6.72
158,253.7,-0.06,32.68,2.94,0.62,0.71,0.58,10.28,3.87,487,151000,41.87,1.02,21.2,0.0107,0.0319,11.56,2.78,124.26,-35.57
225,333.02,-0.05,-93.71,6.93,0.32,0.48,0.26,4.33,9.55,384,727000,52.72,1.02,72.8,0.00223,0.0043,7.45,4.05,244.71,-50.4
188,309.78,-0.69,-44.29,7.31,0.33,0.38,0.3,6.77,7.23,343,373000,41.21,1.01,74.8,0.0043,0.00799,7.19,6.88,207.96,-62.76
217,328.45,-0.51,-47.89,4.34,0.4,0.44,0.39,6.01,3.2,1070,229000,22.57,0.988,137,0.00685,0.0066,3.72,2.16,239.73,-53.82
262,352.72,-0.06,-84.79,4.16,0.32,0.36,0.31,2.02,6.73,405,381000,37.74,0.887,88.4,0.00371,0.00598,6.24,2,261.84,-35.1
84,41.86,-0.36,27.69,3.63,0.19,0.36,0.14,7.21,10.78,101,245000,35.5,0.878,36.9,0.00569,0.0104,7.09,2.23,287.28,7.77
109,71.83,2.53,12.52,1.51,0.41,0.48,0.38,8.12,1.77,203,13200,12.71,0.857,17.3,0.0938,0.159,6.54,2.54,300.47,35.34
90,44.07,0.1,57.42,4.87,0.45,0.64,0.38,6.2,7.96,650,853000,62.57,0.745,58,0.00139,0.0032,8.89,2.03,287.9,9.95
239,342.18,0.19,-121.79,3.79,0.34,0.46,0.3,2.95,6.71,180,168000,40.39,0.725,27.1,0.00684,0.0184,10.39,4.01,253.49,-43.45
98,53.04,-0.01,2.55,4.37,0.62,0.7,0.58,8.5,10.23,416,902000,110,0.723,16.6,0.00128,0.00666,20.16,2.72,292.35,17.81
11,2.87,-0.1,103.06,9.88,0.29,0.35,0.26,0.76,9.12,1020,1770000,46.07,0.713,240,6.44E-4,6.5E-4,3.91,2.97,268.17,-26.53
246,345.33,-0.97,-22.16,4.57,0.4,0.54,0.34,6.09,2.53,1030,136000,17.46,0.7,81.7,0.00812,0.00689,3.28,3.11,257.36,-41.67
6,0.65,-0.13,9.65,11.88,0.58,0.73,0.52,1.66,6.84,4030,3920000,69.04,0.687,244,2.8E-4,3.48E-4,4.81,2.89,266.92,-28.45
70,30.41,0.06,41.15,5.64,0.42,0.47,0.4,6.22,11.82,625,1810000,86.46,0.665,54.5,5.84E-4,0.0015,9.91,1.77,281.66,-2.22
201,320.2,0.82,-42.68,4.54,0.55,0.68,0.5,6.55,2.88,549,94400,27.7,0.658,29.9,0.011,0.0224,7.88,7.04,226.38,-57.49
22,7.49,0.96,24.21,3.56,0.52,0.53,0.51,4.56,4,980,324000,36.14,0.645,78,0.00316,0.00517,6.33,1.64,269.72,-22
10,2.21,-0.21,8.43,11.12,0.55,1,0.41,4.21,12.69,3490,1.17E7,121.84,0.644,166,8.8E-5,1.49E-4,6.53,1.5,267.9,-27.15
19,5.43,-0.38,20.87,9.55,0.28,0.41,0.23,4.19,12.57,576,1890000,61.27,0.643,140,5.43E-4,8.13E-4,5.79,3.44,269.87,-24.46
216,328.52,0.53,-99.24,5.14,0.48,0.51,0.46,4.52,6.44,1800,1550000,53.64,0.61,166,6.27E-4,8.5E-4,5.24,1.07,238.69,-52.98
13,3.32,-0.3,6.26,7.41,0.33,0.36,0.31,5.7,2.81,925,152000,16.12,0.573,161,0.00599,0.00427,2.76,6.79,268.62,-26.24
183,306.48,-0.42,-20.07,3.87,0.35,0.64,0.26,7.72,8.64,268,415000,53.45,0.548,30.7,0.0021,0.00547,10.07,2.24,200.71,-63.08
27,10.01,-0.46,14.35,4.4,0.57,0.86,0.46,6.2,2.35,1770,199000,23.17,0.537,95.5,0.00422,0.00452,4.15,2.62,272.37,-20.5
256,350.46,0.77,-8.86,2.89,0.3,0.51,0.23,6.88,1.65,636,35800,8.52,0.462,99.1,0.0202,0.0114,2.18,2.31,259.42,-36.5
241,344.04,-0.76,-26.76,4.38,0.35,0.37,0.34,5.9,2.76,1270,200000,16.76,0.431,221,0.00342,0.00225,2.54,1.87,256.08,-42.58
193,313.06,-0.28,-54.63,5.94,0.25,0.3,0.23,6.37,7.2,202,218000,31.93,0.43,80.2,0.00315,0.00523,6.42,6.03,214.44,-61.44
62,27.3,0.05,95.2,5.4,0.42,0.47,0.41,4.32,5.69,1490,1000000,42.2,0.42,171,6.68E-4,7.85E-4,4.55,1.43,280.24,-4.99
18,5.2,-0.07,10.02,6.49,0.32,0.48,0.26,5.65,2.87,625,107000,16.12,0.393,130,0.00583,0.00496,3.29,7.4,269.45,-24.5
203,320.56,-0.28,-70.4,4.6,0.65,0.7,0.63,5.65,4.92,1910,960000,56.01,0.387,93.9,6.43E-4,0.00118,7.1,1.44,228,-58.26
220,331.2,0.44,-44.96,5,0.52,0.53,0.52,5.97,3.1,1200,239000,28.22,0.375,94.7,0.0025,0.0033,5.09,3.44,242.08,-51.29
190,311.21,0.59,-51.58,5.08,0.2,0.31,0.16,6.51,4.39,263,105000,15.06,0.36,104,0.00542,0.00419,2.99,4.3,210.23,-61.16
269,354.86,0.62,-22.11,3.6,0.47,0.54,0.44,3.94,4.6,1660,729000,38.01,0.349,151,7.63E-4,8.98E-4,4.55,0.785,262.58,-32.95
114,83.67,3.5,-1.99,3.66,0.87,1.01,0.8,8.71,3.06,566,108000,46.29,0.332,14.9,0.00478,0.0197,15.9,6.67,308.12,45.7
32,11.97,0.76,23.82,5.31,0.62,0.67,0.6,5.59,3.01,2210,395000,32.71,0.328,113,0.00126,0.00161,4.94,2.72,272.25,-18.2
247,345.47,0.39,-18.38,4.89,0.39,0.46,0.36,6.41,2.18,1990,185000,14.92,0.321,245,0.00259,0.00149,2.22,2.24,256.02,-40.74
267,354.35,-0.21,-32.25,5.02,0.31,0.4,0.27,3.34,5.22,176,99800,27.93,0.316,40.5,0.00503,0.0101,7.76,8.22,263.08,-33.83
122,94.26,-1.6,-43.26,2.38,0.34,0.45,0.29,10.85,6.14,78.2,61100,36.18,0.312,9.74,0.00808,0.0305,14.61,3.92,324.39,50.16
223,332.82,0.76,-53.01,7.61,0.48,0.54,0.46,5.56,3.58,1870,483000,30.05,0.304,161,9.74E-4,9.91E-4,3.93,4.19,243.61,-49.95
243,344.93,-0.45,-18.43,2.93,0.41,0.47,0.39,6.46,2.14,924,87800,15.39,0.279,110,0.00504,0.00441,3.38,1.75,256.48,-41.68
265,353.16,-0.24,-18.11,3.48,0.6,0.6,0.6,5.01,3.53,2220,552000,36.84,0.26,129,7.24E-4,9.36E-4,5,0.944,262.32,-34.84
258,351.15,-0.74,-21.28,4.03,0.56,0.63,0.53,5.2,3.37,1980,463000,33.14,0.26,127,8.88E-4,0.00107,4.65,1.36,261.45,-36.79
160,264.65,1.58,5.35,1.93,0.98,1.24,0.87,8.86,1.82,635,43500,31.07,0.258,45.4,0.00938,0.0334,13.78,3.11,134.55,-43.3
9,1.92,0.26,6.97,4.15,0.24,0.4,0.18,4.32,4.18,365,132000,17.34,0.257,106,0.00309,0.00263,3.29,2.63,267.28,-27.16
76,34.94,-0.74,44.37,3.61,0.46,0.47,0.45,6.31,2.96,1320,239000,23.66,0.239,134,0.00159,0.0016,3.9,1.5,284.43,1.45
130,107.13,-1.1,-41.36,2.51,0.27,0.51,0.19,10.84,4.68,55.8,25300,21.87,0.215,9.36,0.0133,0.0368,10.67,6.33,342.01,57.93
66,28.84,-0.24,94.05,4.75,0.52,0.58,0.5,4.46,5.7,1180,795000,51.84,0.207,89.5,4.15E-4,7.45E-4,6.95,1.71,281.21,-3.75
100,59.81,0.05,-5.2,5.49,0.43,0.68,0.34,8.88,9.27,310,552000,69.22,0.179,18.8,5.17E-4,0.00172,12.86,4.4,295.83,23.75
235,340.02,-0.6,-92.04,4.02,0.44,0.51,0.41,3.76,5.61,671,438000,43.27,0.167,69.1,6.07E-4,0.00112,7.14,1.86,252.42,-45.62
83,41.09,-0.05,13.91,3.81,0.42,0.59,0.35,7.84,11.91,283,833000,86.79,0.16,28,3.07E-4,0.00117,14.71,1.76,286.64,7.23
226,334.63,1.02,-77.04,6.04,0.65,0.96,0.53,4.64,4.81,1230,592000,54.43,0.148,45.1,4.01E-4,8.98E-4,8.67,3.91,245.32,-48.5
251,348.11,0.34,-9.17,2.96,0.64,0.77,0.58,7.13,1.41,2560,104000,15.66,0.135,123,0.00203,0.00167,3.18,1.53,258.13,-38.66
196,316.01,-0.58,-57.81,4.34,0.58,0.59,0.57,6.18,4.3,1800,686000,43.54,0.122,114,2.81E-4,4.19E-4,5.76,1.39,220.33,-60.63
242,344.37,0.12,-67.13,5,0.6,0.79,0.52,3.93,5,1910,989000,52.19,0.113,100,1.83E-4,2.98E-4,6.29,1.54,255.41,-41.78
135,113.73,-0.79,-43.43,5.21,0.49,0.56,0.45,11.11,4.51,203,86000,38.34,0.113,13,0.0021,0.00729,13.44,14.1,353.78,60.71
23,8.19,0.19,14.07,4.09,0.47,0.52,0.44,5.87,2.67,1780,263000,21.75,0.0995,168,6.01E-4,5.1E-4,3.28,1.61,270.81,-21.78
162,270.46,0.56,-0.88,2.02,0.69,0.92,0.6,8.6,1.34,1300,48900,16.21,0.098,58.6,0.00319,0.00403,4.9,1.57,139.09,-48.28
215,327.97,0.01,-49.32,6.17,0.47,0.49,0.47,5.99,3.27,1170,254000,27.03,0.0812,109,4.99E-4,5.98E-4,4.63,4.71,238.54,-53.73
51,22.96,0.69,35.75,1.25,0.34,0.54,0.27,6.01,2.82,203,33500,16.57,0.0671,21.6,0.00318,0.00504,6.11,0.893,277.66,-8.55
103,62.96,-0.07,26.29,3.91,0.26,0.39,0.21,7.57,3.95,143,46400,18,0.0667,29.7,0.00229,0.00348,5.88,6.89,297.69,26.41
105,63.41,0.48,19.83,3.09,0.51,0.53,0.5,7.81,2.01,390,32700,17.83,0.0368,22.7,0.0018,0.00321,6.91,6.06,297.42,27.08
65,28.91,3.4,6.2,3.47,0.32,0.38,0.29,8.14,0.42,437,1580,2.3,0.015,68,0.0149,0.00562,1.46,20.4,278,-2.02
29,10.35,-0.33,7.7,4.31,0.28,0.47,0.21,7.17,1.35,725,27600,6.52,0.00732,158,4.23E-4,1.82E-4,1.66,5.11,272.43,-20.14
